IMDb,classify,douban,title,year
7.2,动作/奇幻/冒险,7.9,　魔兽/魔兽：崛起(台)/魔兽争霸：战雄崛起(港)/魔兽争霸/魔兽世界,2016
7.2,动作/奇幻/冒险,7.9,　魔兽/魔兽：崛起(台)/魔兽争霸：战雄崛起(港)/魔兽争霸/魔兽世界,2016
4.8,西部,7.9,　枪手哈特/来者不善,1981
7.1,动作/悬疑/科幻/惊悚,7.9,　我，机器人/智能叛变(港)/机械公敌(台),2004
7.1,动作/悬疑/科幻/惊悚,7.9,　我，机器人/智能叛变(港)/机械公敌(台),2004
7.1,动作/悬疑/科幻/惊悚,7.9,　我，机器人/智能叛变(港)/机械公敌(台),2004
8.2,动作/科幻/冒险,7.8,　美国队长3/美国队长3：内战/美国队长3：英雄内战(港/台)/美队3,2016
8.2,动作/科幻/冒险,7.8,　美国队长3/美国队长3：内战/美国队长3：英雄内战(港/台)/美队3,2016
7.3,喜剧/动作/动画/冒险,7.8,　功夫熊猫3/熊猫阿宝3/阿宝正传3,2016
7.3,喜剧/动作/动画/冒险,7.8,　功夫熊猫3/熊猫阿宝3/阿宝正传3,2016
7.3,喜剧/动作/动画/冒险,7.8,　功夫熊猫3/熊猫阿宝3/阿宝正传3,2016
7.6,动作/科幻/冒险,7.8,　蚁人/蚁侠(港),2015
7.6,动作/科幻/冒险,7.8,　蚁人/蚁侠(港),2015
7.2,动作/科幻/冒险,7.8,　侏罗纪世界/侏罗纪公园4,2015
7.2,动作/科幻/冒险,7.8,　侏罗纪世界/侏罗纪公园4,2015
7.9,剧情/科幻/冒险,7.8,　地心引力/引力边缘(港)/地球引力/重力,2013
7.9,剧情/科幻/冒险,7.8,　地心引力/引力边缘(港)/地球引力/重力,2013
7.6,剧情/传记/冒险,7.7,　云中行走/走钢索的人(台)/命悬一线(港)/行云者,2015
7,动作/科幻/冒险/灾难,7.7,　环太平洋/悍战太平洋(港),2013
7,动作/科幻/冒险/灾难,7.7,　环太平洋/悍战太平洋(港),2013
7.4,纪录片/历史,7.7,　忘梦洞,2010
7.4,动作/动画/悬疑/冒险,7.6,　丁丁历险记/丁丁历险记：独角兽号的秘密,2011
7.4,动作/动画/悬疑/冒险,7.6,　丁丁历险记/丁丁历险记：独角兽号的秘密,2011
7.5,剧情/儿童/传记/奇幻,7.6,　雨果/雨果的巴黎奇幻历险(港)/雨果的冒险(台)/雨果的秘密/雨果·卡布里特的发明/造梦的雨果/发明男孩雨果,2011
6.9,动作/剧情/爱情,7.6,　壮志凌云/捍卫战士(台)/壮志凌云 3D,1986
6.9,动作/剧情/爱情,7.6,　壮志凌云/捍卫战士(台)/壮志凌云 3D,1986
7.9,动画/奇幻/冒险,7.5,　魔弦传说/久保与二弦琴/酷宝：魔弦传说(台)/捉妖敢死队(港)/久保与二胡,2016
6.7,喜剧/动画,7.5,　爱宠大机密/Pet Pet当家(港)/宠物当家(台)/宠物的秘密生活,2016
6.7,喜剧/动画,7.5,　爱宠大机密/Pet Pet当家(港)/宠物当家(台)/宠物的秘密生活,2016
